9169401;Fellowes Monitor Riser Premium - Monitor stand - graphite;351.33;425.11;;;2992;9169401;
9472302;Fellowes I-Spire Series - Monitor stand - grey. black;24.19;29.27;;;2095;9472302;
10101210.1;"ProDVX TMP-10 - LED monitor - 10.1"" (10.1"" viewable) - touchscreen - 1024 x 600 - 450 cd/m¤ - 600:1 - HDMI. USB - speakers - black";596.18;721.38;;;2647;10101210.1;
10151215.16;"ProDVX TMP-15 - LED monitor - 15.6"" (15.6"" viewable) - touchscreen - 1920 x 1080 - 330 cd/m¤ - 800:1 - HDMI. USB - speakers - black";861.52;1042.44;;;2645;10151215.16;
30792010;Star SCD122U - Customer display - 700 cd/m2 - USB - white - USB;1303.01;1576.64;;;1131;30792010;
40001058;"NEC MultiSync E905 HDBT - 90"" Class - E Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - direct-lit LED - with NEC HDBaseT Switcher NP01SW1 and NEC HDBaseT OPS Receiver SB07BC";182.66;221.02;;;510;40001058;
40001060;"NEC MultiSync E805 HDBT - 80"" Class - E Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black - with NEC HDBaseT Switcher NP01SW1 and NEC HDBaseT OPS Receiver SB07BC";13363.64;16170.00;;;509;40001060;
40001061;"NEC MultiSync E705 HDBT - 70"" Class - E Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black - with NEC HDBaseT Switcher NP01SW1 and NEC HDBaseT OPS Receiver SB07BC";8392.21;10154.57;;;508;40001061;
50250999.12;ProDVX F-250;155.32;187.94;;;90;50250999.12;
60002932;"NEC MultiSync E231W - LED monitor - 23"" (23"" viewable) - 1920 x 1080 Full HD (1080p) - TN - 250 cd/m¤ - 1000:1 - 5 ms - DVI-D. VGA. DisplayPort - black";139.16;168.38;;;1122;60002932;
60003161;"NEC SpectraView 232 - LED monitor - 23"" (23"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 270 cd/m¤ - 1000:1 - 8 ms - HDMI. DVI-D. VGA. DisplayPort - black";4.56;5.52;;;1556;60003161;
60003293;"NEC MultiSync EA223WM - LED monitor - 22"" - 1680 x 1050 HD 720p - TN - 250 cd/m¤ - 1000:1 - 5 ms - DVI-D. VGA. DisplayPort - speakers - white";236.57;286.25;;;320;60003293;
60003294;"NEC MultiSync EA223WM - LED monitor - 22"" - 1680 x 1050 HD 720p - TN - 250 cd/m¤ - 1000:1 - 5 ms - DVI-D. VGA. DisplayPort - speakers - black";239.69;290.02;;;321;60003294;
60003323;"NEC MultiSync P232W - LED monitor - 23"" (23"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m¤ - 1000:1 - 8 ms - HDMI. DVI-D. VGA. DisplayPort - silver. light grey";616.67;746.17;;;1147;60003323;
60003327;"NEC MultiSync X401S - 40"" Class (40"" viewable) - X Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black";2149.09;2600.40;;;1548;60003327;
60003334;"NEC MultiSync E223W - LED monitor - 22"" - 1680 x 1050 HD 720p - TN - 250 cd/m¤ - 1000:1 - 5 ms - DVI-D. VGA. DisplayPort - black";199.95;241.94;;;1336;60003334;
60003335;"NEC MultiSync E223W - LED monitor - 22"" - 1680 x 1050 HD 720p - TN - 250 cd/m¤ - 1000:1 - 5 ms - DVI-D. VGA. DisplayPort - white";244.35;295.66;;;1310;60003335;
60003336;"NEC MultiSync EA224WMi - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m¤ - 1000:1 - 14 ms - HDMI. DVI-D. VGA. DisplayPort - speakers - black";215.06;260.22;;;220;60003336;
60003337;"NEC MultiSync EA224WMi - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m¤ - 1000:1 - 14 ms - HDMI. DVI-D. VGA. DisplayPort - speakers - white";216.29;261.71;;;210;60003337;
60003396;"NEC MultiSync V552 - 55"" Class - V Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit";1605.78;1942.99;;;1309;60003396;
60003409;"NEC MultiSync EA244WMi - LED monitor - 24"" (24.1"" viewable) - 1920 x 1200 - IPS - 350 cd/m¤ - 1000:1 - 5 ms - HDMI. DVI-D. VGA. DisplayPort - speakers - white";337.77;408.70;;;2778;60003414;
60003414;"NEC MultiSync EA244WMi - LED monitor - 24"" (24.1"" viewable) - 1920 x 1200 - IPS - 350 cd/m¤ - 1000:1 - 5 ms - HDMI. DVI-D. VGA. DisplayPort - speakers - black";260.86;315.64;;;888;60003415;
60003415;"NEC MultiSync EA294WMi - LED monitor - 29"" (29"" viewable) - 2560 x 1080 - IPS - 300 cd/m¤ - 1000:1 - 14 ms - HDMI. 2xDVI-D. VGA. DisplayPort - speakers - white";5704.09;6901.95;;;887;60003417;
60003417;"NEC MultiSync EA294WMi - LED monitor - 29"" (29"" viewable) - 2560 x 1080 - IPS - 300 cd/m¤ - 1000:1 - 14 ms - HDMI. 2xDVI-D. VGA. DisplayPort - speakers - black";552.83;668.92;;;1300;60003418;
60003418;"NEC MultiSync P242W - LED monitor - 24.1"" (24.1"" viewable) - 1920 x 1200 - IPS - 350 cd/m¤ - 1000:1 - 8 ms - HDMI. DVI-D. VGA. DisplayPort - white";731.42;885.02;;;1312;60003419;
60003419;"NEC MultiSync P242W - LED monitor - 24.1"" (24.1"" viewable) - 1920 x 1200 - IPS - 350 cd/m¤ - 1000:1 - 8 ms - HDMI. DVI-D. VGA. DisplayPort - black";642.14;776.99;;;544;60003420;
60003420;"NEC MDview 243 - LED monitor - 2MP - colour - 24.1"" - 1920 x 1200 - IPS - 350 cd/m¤ - 1000:1 - 8 ms - HDMI. DVI-D. VGA. DisplayPort";470.94;569.84;;;1031;60003432;
60003432;"NEC MultiSync X552S PG - 55"" Class (54.5"" viewable) - X Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black";1601.3;1937.57;;;1030;60003433;
60003433;"NEC MultiSync X462S PG - 46"" Class (46"" viewable) - X Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black";3899.17;4718.00;;;1240;60003437;
60003437;"NEC MultiSync X401S PG - 40"" Class (40"" viewable) - X Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black";2454.32;2969.73;;;207;60003477;
60003477;"NEC MultiSync P403 - 40"" Class - P Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit";1872.86;2266.16;;;924;60003478;
60003478;"NEC MultiSync P463 - 46"" Class - P Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit";783.07;947.51;;;206;60003479;
60003479;"NEC MultiSync P553 - 55"" Class - P Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit";2852.73;3451.80;;;923;60003480;
60003480;"NEC MultiSync P703 - 70"" Class - P Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit";2225.78;2693.19;;;205;60003481;
60003481;"NEC MultiSync P801 - 80"" Class - P Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit";13806.6;16705.99;;;1029;60003482;
60003482;"NEC MultiSync V801 - 80"" Class - V Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black";2775.99;3358.95;;;378;60003487;
60003487;"NEC MultiSync E654 - 65"" Class LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black";2184.55;2643.31;;;1238;60003488;
60003488;"NEC MultiSync PA302W - LED monitor - 30"" (29.8"" viewable) - 2560 x 1600 - AH-IPS - 340 cd/m¤ - 1000:1 - 7 ms - HDMI. DVI-D. DisplayPort. Mini DisplayPort - black";2064.18;2497.66;;;951;60003489;
60003489;"NEC MultiSync PA272W - LED monitor - 27"" (27"" viewable) - 2560 x 1440 - AH-IPS - 340 cd/m¤ - 1000:1 - 6 ms - HDMI. DVI-D. DisplayPort. Mini DisplayPort - black";511.53;618.95;;;1465;60003489;
60003489;"NEC MultiSync PA272W - LED monitor - 27"" (27"" viewable) - 2560 x 1440 - AH-IPS - 340 cd/m¤ - 1000:1 - 6 ms - HDMI. DVI-D. DisplayPort. Mini DisplayPort - black";239.1;289.31;;;984;60003490;
60003490;"NEC MultiSync PA242W - LED monitor - 24.1"" (24.1"" viewable) - 1920 x 1200 - AH-IPS - 350 cd/m¤ - 1000:1 - 6 ms - HDMI. DVI-D. VGA. DisplayPort - black";184.22;222.91;;;272;60003491;
60003491;"NEC MultiSync PA242W - LED monitor - 24.1"" (24.1"" viewable) - 1920 x 1200 - AH-IPS - 350 cd/m¤ - 1000:1 - 6 ms - HDMI. DVI-D. VGA. DisplayPort - white";827.42;1001.18;;;1036;60003494;
