10101210.1;"ProDVX TMP-10 - LED monitor - 10.1"" (10.1"" viewable) - touchscreen - 1024 x 600 - 450 cd/m2 - 600:1 - HDMI, USB - speakers - black";211.45;255.85;;;2071;10101210.1
10151215.16;"ProDVX TMP-15 - LED monitor - 15.6"" (15.6"" viewable) - touchscreen - 1920 x 1080 - 330 cd/m2 - 800:1 - HDMI, USB - speakers - black";604.58;731.54;;;2072;10151215.16
30792010;Star SCD122U - Customer display - 700 cd/m2 - USB - white - USB;155.63;188.31;;;2073;30792010
40001058;"NEC MultiSync E905 HDBT - 90"" Class - E Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - direct-lit LED - with NEC HDBaseT Switcher NP01SW1 and NEC HDBaseT OPS Receiver SB07BC";13363.64;16170;;;2074;40001058
40001060;"NEC MultiSync E805 HDBT - 80"" Class - E Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black - with NEC HDBaseT Switcher NP01SW1 and NEC HDBaseT OPS Receiver SB07BC";8392.21;10154.57;;;2075;40001060
40001061;"NEC MultiSync E705 HDBT - 70"" Class - E Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black - with NEC HDBaseT Switcher NP01SW1 and NEC HDBaseT OPS Receiver SB07BC";5533.77;6695.86;;;2076;40001061
50250999.12;ProDVX F-250;155.32;187.94;;;2077;50250999.12
60002932;"NEC MultiSync E231W - LED monitor - 23"" (23"" viewable) - 1920 x 1080 Full HD (1080p) - TN - 250 cd/m2 - 1000:1 - 5 ms - DVI-D, VGA, DisplayPort - black";236.64;286.33;;;2078;60002932
60003161;"NEC SpectraView 232 - LED monitor - 23"" (23"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 270 cd/m2 - 1000:1 - 8 ms - HDMI, DVI-D, VGA, DisplayPort - black";812.64;983.29;;;2079;60003161
60003293;"NEC MultiSync EA223WM - LED monitor - 22"" - 1680 x 1050 HD 720p - TN - 250 cd/m2 - 1000:1 - 5 ms - DVI-D, VGA, DisplayPort - speakers - white";236.57;286.25;;;2105;60003293
60003294;"NEC MultiSync EA223WM - LED monitor - 22"" - 1680 x 1050 HD 720p - TN - 250 cd/m2 - 1000:1 - 5 ms - DVI-D, VGA, DisplayPort - speakers - black";239.69;290.02;;;2107;60003294
60003323;"NEC MultiSync P232W - LED monitor - 23"" (23"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m2 - 1000:1 - 8 ms - HDMI, DVI-D, VGA, DisplayPort - silver, light grey";464.28;561.78;;;2154;60003323
60003327;"NEC MultiSync X401S - 40"" Class (40"" viewable) - X Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black";1480.27;1791.13;;;2108;60003327
60003334;"NEC MultiSync E223W - LED monitor - 22"" - 1680 x 1050 HD 720p - TN - 250 cd/m2 - 1000:1 - 5 ms - DVI-D, VGA, DisplayPort - black";199.95;241.94;;;2133;60003334
60003335;"NEC MultiSync E223W - LED monitor - 22"" - 1680 x 1050 HD 720p - TN - 250 cd/m2 - 1000:1 - 5 ms - DVI-D, VGA, DisplayPort - white";244.35;295.66;;;2134;60003335
60003336;"NEC MultiSync EA224WMi - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m2 - 1000:1 - 14 ms - HDMI, DVI-D, VGA, DisplayPort - speakers - black";215.06;260.22;;;2135;60003336
60003337;"NEC MultiSync EA224WMi - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m2 - 1000:1 - 14 ms - HDMI, DVI-D, VGA, DisplayPort - speakers - white";216.29;261.71;;;2136;60003337
60003396;"NEC MultiSync V552 - 55"" Class - V Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit";1605.78;1942.99;;;2137;60003396
60003409;"NEC MultiSync EA244WMi - LED monitor - 24"" (24.1"" viewable) - 1920 x 1200 - IPS - 350 cd/m2 - 1000:1 - 5 ms - HDMI, DVI-D, VGA, DisplayPort - speakers - white";337.77;408.7;;;2138;60003409
60003414;"NEC MultiSync EA244WMi - LED monitor - 24"" (24.1"" viewable) - 1920 x 1200 - IPS - 350 cd/m2 - 1000:1 - 5 ms - HDMI, DVI-D, VGA, DisplayPort - speakers - black";337.77;408.7;;;2139;60003414
60003415;"NEC MultiSync EA294WMi - LED monitor - 29"" (29"" viewable) - 2560 x 1080 - IPS - 300 cd/m2 - 1000:1 - 14 ms - HDMI, 2xDVI-D, VGA, DisplayPort - speakers - white";552.83;668.92;;;2140;60003415
60003417;"NEC MultiSync EA294WMi - LED monitor - 29"" (29"" viewable) - 2560 x 1080 - IPS - 300 cd/m2 - 1000:1 - 14 ms - HDMI, 2xDVI-D, VGA, DisplayPort - speakers - black";552.83;668.92;;;2141;60003417
60003418;"NEC MultiSync P242W - LED monitor - 24.1"" (24.1"" viewable) - 1920 x 1200 - IPS - 350 cd/m2 - 1000:1 - 8 ms - HDMI, DVI-D, VGA, DisplayPort - white";731.42;885.02;;;2142;60003418
60003419;"NEC MultiSync P242W - LED monitor - 24.1"" (24.1"" viewable) - 1920 x 1200 - IPS - 350 cd/m2 - 1000:1 - 8 ms - HDMI, DVI-D, VGA, DisplayPort - black";642.14;776.99;;;2143;60003419
60003420;"NEC MDview 243 - LED monitor - 2MP - colour - 24.1"" - 1920 x 1200 - IPS - 350 cd/m2 - 1000:1 - 8 ms - HDMI, DVI-D, VGA, DisplayPort";995.55;1204.62;;;2144;60003420
60003432;"NEC MultiSync X552S PG - 55"" Class (54.5"" viewable) - X Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black";3899.17;4718;;;2145;60003432
60003433;"NEC MultiSync X462S PG - 46"" Class (46"" viewable) - X Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black";2775.99;3358.95;;;2146;60003433
60003437;"NEC MultiSync X401S PG - 40"" Class (40"" viewable) - X Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black";2454.32;2969.73;;;2147;60003437
60003477;"NEC MultiSync P403 - 40"" Class - P Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit";1872.86;2266.16;;;2148;60003477
60003478;"NEC MultiSync P463 - 46"" Class - P Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit";2225.78;2693.19;;;2149;60003478
60003479;"NEC MultiSync P553 - 55"" Class - P Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit";2852.73;3451.8;;;2150;60003479
60003480;"NEC MultiSync P703 - 70"" Class - P Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit";6068.18;7342.5;;;2151;60003480
60003481;"NEC MultiSync P801 - 80"" Class - P Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit";13806.6;16705.99;;;2152;60003481
60003482;"NEC MultiSync V801 - 80"" Class - V Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black";8374.09;10132.65;;;2153;60003482
60003487;"NEC MultiSync E654 - 65"" Class LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black";2184.55;2643.31;;;2132;60003487
60003488;"NEC MultiSync PA302W - LED monitor - 30"" (29.8"" viewable) - 2560 x 1600 - AH-IPS - 340 cd/m2 - 1000:1 - 7 ms - HDMI, DVI-D, DisplayPort, Mini DisplayPort - black";2064.18;2497.66;;;2131;60003488
60003489;"NEC MultiSync PA272W - LED monitor - 27"" (27"" viewable) - 2560 x 1440 - AH-IPS - 340 cd/m2 - 1000:1 - 6 ms - HDMI, DVI-D, DisplayPort, Mini DisplayPort - black";1035.63;1253.11;;;2118;60003489
60003489;"NEC MultiSync PA272W - LED monitor - 27"" (27"" viewable) - 2560 x 1440 - AH-IPS - 340 cd/m2 - 1000:1 - 6 ms - HDMI, DVI-D, DisplayPort, Mini DisplayPort - black";1022.17;1236.83;;;2130;60003489
60003490;"NEC MultiSync PA242W - LED monitor - 24.1"" (24.1"" viewable) - 1920 x 1200 - AH-IPS - 350 cd/m2 - 1000:1 - 6 ms - HDMI, DVI-D, VGA, DisplayPort - black";745.16;901.64;;;2109;60003490
60003491;"NEC MultiSync PA242W - LED monitor - 24.1"" (24.1"" viewable) - 1920 x 1200 - AH-IPS - 350 cd/m2 - 1000:1 - 6 ms - HDMI, DVI-D, VGA, DisplayPort - white";827.42;1001.18;;;2110;60003491
60003494;"NEC MultiSync EA304WMi - LED monitor - 30"" (29.8"" viewable) - 2560 x 1600 - AH-IPS - 350 cd/m2 - 1000:1 - 6 ms - HDMI, DVI-D, VGA, DisplayPort - speakers - black";1643.83;1989.03;;;2111;60003494
60003495;"NEC MultiSync EA304WMi - LED monitor - 30"" (29.8"" viewable) - 2560 x 1600 - AH-IPS - 350 cd/m2 - 1000:1 - 6 ms - HDMI, DVI-D, VGA, DisplayPort - speakers - white";1477.47;1787.74;;;2112;60003495
60003496;"NEC AccuSync AS222WM - LED monitor - 21.5"" - 1920 x 1080 Full HD (1080p) - TN - 250 cd/m2 - 1000:1 - 5 ms - DVI-D, VGA - speakers - black";151.81;183.69;;;2113;60003496
60003543;"NEC SpectraView Reference 242 - LED monitor - 24.1"" - 1920 x 1200 - AH-IPS - 340 cd/m2 - 1000:1 - 8 ms - HDMI, DVI-D, VGA, DisplayPort - black";1324.4;1602.52;;;2114;60003543
60003544;"NEC SpectraView 242 - LED monitor - 24.1"" (24.1"" viewable) - 1920 x 1200 - AH-IPS - 340 cd/m2 - 1000:1 - 8 ms - HDMI, DVI-D, VGA, DisplayPort - black";1263.58;1528.93;;;2115;60003544
60003545;"NEC SpectraView Reference 272 - LED monitor - 27"" (27"" viewable) - 2560 x 1440 - AH-IPS - 350 cd/m2 - 1000:1 - 7 ms - HDMI, DVI-D, DisplayPort, Mini DisplayPort";1759.01;2128.4;;;2116;60003545
60003546;"NEC SpectraView 272 - LED monitor - 27"" (27"" viewable) - 2560 x 1440 - AH-IPS - 350 cd/m2 - 1000:1 - 7 ms - HDMI, DVI-D, DisplayPort, Mini DisplayPort - black";1617.02;1956.59;;;2117;60003546
60003547;"NEC SpectraView Reference 302 - LED monitor - 30"" (29.8"" viewable) - 2560 x 1600 - AH-IPS - 340 cd/m2 - 1000:1 - 6 ms - HDMI, DVI-D, DisplayPort, Mini DisplayPort - black";2493.43;3017.05;;;2119;60003547
60003581;"NEC MultiSync E171M - LED monitor - 17"" (17"" viewable) - 1280 x 1024 - 250 cd/m2 - 1000:1 - 5 ms - DVI-D, VGA - speakers - white";156.37;189.21;;;2129;60003581
60003582;"NEC MultiSync E171M - LED monitor - 17"" (17"" viewable) - 1280 x 1024 - 250 cd/m2 - 1000:1 - 5 ms - DVI-D, VGA - speakers - black";156.37;189.21;;;2120;60003582
